model,stock,test_mse,test_mae,ckpt,epoch,val_loss
LSTM,sz000001,0.03452549874782562,0.08302894234657288,best.ckpt,99,0.06029879301786423
LSTM,sz000002,0.13460947573184967,0.16592954099178314,best.ckpt,99,0.1334308236837387
LSTM,sz000858,0.127475768327713,0.10574720799922943,best.ckpt,99,0.14558836817741394
LSTM,sz300147,5.875241279602051,0.37047576904296875,best-v1.ckpt,99,0.0008674239506945014
LSTM,sz002415,0.07764482498168945,0.11795918643474579,best.ckpt,99,0.10116054117679596
CNN,sz000001,0.0864277258515358,0.14754162728786469,best.ckpt,53,0.1337161362171173
CNN,sz000002,0.2531556189060211,0.23409540951251984,best.ckpt,11,0.27960070967674255
CNN,sz000858,0.1893397718667984,0.12344125658273697,best.ckpt,28,0.19863440096378326
CNN,sz300147,10.281745910644531,0.7665880918502808,best.ckpt,94,0.0027398078236728907
CNN,sz002415,0.1651364415884018,0.1661251187324524,best.ckpt,53,0.16531875729560852
DeepLOB,sz000001,0.06226354464888573,0.1233663409948349,best-v1.ckpt,99,0.09920307993888855
DeepLOB,sz000002,0.2235935628414154,0.22574788331985474,best-v2.ckpt,99,0.2211359292268753
DeepLOB,sz000858,0.17693932354450226,0.12362905591726303,best.ckpt,56,0.19454942643642426
DeepLOB,sz300147,5.8971848487854,0.39584100246429443,best-v2.ckpt,98,0.0024862047284841537
DeepLOB,sz002415,0.11491551995277405,0.14163298904895782,best-v2.ckpt,97,0.14897917211055756
Transformer,sz000001,0.033498216420412064,0.07679787278175354,best-v5.ckpt,99,0.059311188757419586
Transformer,sz000002,0.11969664692878723,0.15012714266777039,best.ckpt,99,0.1153622642159462
Transformer,sz000858,0.11319809406995773,0.10041510313749313,best.ckpt,96,0.12489505857229233
Transformer,sz300147,6.079792022705078,0.358551561832428,best.ckpt,96,0.0009105693898163736
Transformer,sz002415,0.06734336167573929,0.10679683834314346,best.ckpt,99,0.08873815834522247
TransLOB,sz000001,0.04697609320282936,0.10409459471702576,best.ckpt,99,0.07581128925085068
TransLOB,sz000002,0.18799491226673126,0.20359551906585693,best.ckpt,44,0.2065316140651703
TransLOB,sz000858,0.12582144141197205,0.10599752515554428,best.ckpt,99,0.1413150578737259
TransLOB,sz300147,5.8000288009643555,0.38118600845336914,best-v1.ckpt,96,0.0015149465762078762
TransLOB,sz002415,0.09068084508180618,0.12630873918533325,best-v1.ckpt,94,0.10606388747692108
SimLOB,sz000001,0.02533424086868763,0.07780251652002335,best.ckpt,98,0.046472642570734024
SimLOB,sz000002,0.09239460527896881,0.1350097358226776,best.ckpt,96,0.07852102816104889
SimLOB,sz000858,0.08090835809707642,0.11672090739011765,best.ckpt,90,0.0906376838684082
SimLOB,sz300147,5.203588485717773,0.3611103892326355,best-v1.ckpt,97,0.0005035517388023436
SimLOB,sz002415,0.05030078813433647,0.09370214492082596,best-v1.ckpt,78,0.0684591606259346
